Herding,Hound,Toy,Non-Sporting,Sporting,Terrier,Working,Misc,FSS
Australian Cattle Dog,Afghan Hound,Affenpinscher,American Eskimo Dog,American Water Spaniel,Airedale Terrier,Akita,Barbet,American Leopard Hound
Australian Shepherd,American English Coonhound,Brussels Griffon,Bichon Frise,Boykin Spaniel,American Hairless Terrier,Alaskan Malamute,Belgian Laekenois,Appenzeller Sennenhund
Bearded Collie,American Foxhound,Cavalier King Charles Spaniel,Boston Terrier,Brittany,American Staffordshire Terrier,Anatolian Shepherd Dog,Dogo Argentino,Australian Kelpie
Beauceron,Azawakh,Chihuahua,Bulldog,Chesapeake Bay Retriever,Australian Terrier,Bernese Mountain Dog,Dutch Shepherd,Australian Stumpy Tail Cattle Dog
Belgian Malinois,Basenji,Chinese Crested,Chinese Shar-Pei,Clumber Spaniel,Bedlington Terrier,Black Russian Terrier,Lancashire Heeler,Basset Fauve de Bretagne
Belgian Sheepdog,Basset Hound,English Toy Spaniel,Chow Chow,Cocker Spaniel,Border Terrier,Boerboel,Mudi,Bavarian Mountain Scent Hound
Belgian Tervuren,Beagle,Havanese,Coton De Tulear,Curly-Coated Retriever,Bull Terrier,Boxer,Norrbottenspets,Biewer Terrier
Bergamasco,Black and Tan Coonhound,Italian Greyhound,Dalmatian,English Cocker Spaniel,Cairn Terrier,Bullmastiff,Peruvian Inca Orchid,Bolognese
Berger Picard,Bloodhound,Japanese Chin,Finish Spitz,English Setter,Cesky Terrier,Cane Corso,Portuguese Podengo,Bracco Italiano
Border Collie,Bluetick Coonhound,Maltese,French Bulldog,English Springer Spaniel,Dandie Dinmont Terrier,Chinook,Russian Toy,Braque de Bourbonnais
Bouvier des Flandres,Borzoi,Manchester Terrier,Keeshond,Field Spaniel,Glen of Imaal Terrier,Doberman Pinscher,,Braque Francais Pyrenean
Briard,Cirneco Dell’Etna,Miniature Pinscher,Lhasa Apso,Flat-Coated Retriever,Irish Terrier,Dogue de Bordeaux,,Broholmer
Canaan Dog,Dachshund,Papillon,Lowchen,German Shorthaired Pointer,Kerry Blue Terrier,German Pinscher,,Carolina Dog
Cardigan Welsh Corgi,English Foxhound,Pekingese,Norwegian Lundhund,German Wirehaired Pointer,Lakeland Terrier,Giant Schnauzer,,Catahoula Leopard Dog
Collie,Grand Basset Griffon Vendeen,Pomeranian,Poodle,Golden Retriever,Manchester Terrier,Great Dane,,Caucasian Shepherd Dog
Entlebucher Moutain Dog,Greyhound,Poodle (Toy),Schipperke,Gordon Setter,Miniature Bull Terrier,Great Pyrenees,,Central Asian Shepherd Dog
Finnish Lapphund,Harrier,Pug,Shiba Inu,Irish Red and White Setter,Miniature Schnauzer,Greater Swiss Mountain Dog,,Croatian Sheepdog
German Shepherd Dog,Ibizan Hound,Shih Tzu,Tibetan Spaniel,Irish Setter,Norfolk Terrier,Komondor,,Czechoslovakian Vlack
Icelandic Sheepdog,Irish Wolfhound,Silky Terrier,Tibetan Terrier,Irish Water Spaniel,Norwich Terrier,Kuvasz,,Danish-Swedish Farmdog
Miniature American Shepherd,Norwegian Elkhound,Toy Fox Terrier,Xoloitzcuintli,Labrador Retriever,Parson Russell Terrier,Leonberger,,Deutscher Wachtelhund
Norwegian Buhund,Otterhound,Yorkshire Terrier,,Lagotto Romagnolo,Rat Terrier,Mastiff,,Drentsche Patrijshond
Old English Sheepdog,Petit Basset Griffon Vendeen,,,Nederlandse Kooikerhondje,Russell Terrier,Neapolitan Mastiff,,Drever
Pembroke Welsh Corgi,Pharaoh Hound,,,Nova Scotia Duck Tolling Retriever,Scottish Terrier,Newfoundland,,Estrela Mountain Dog
Polish Lowland Sheepdog,Plott,,,Pointer,Sealyham Terrier,Portuguese Water Dog,,Eurasier
Puli,Portuguese Podengo Pequeno,,,Spinone Italiano,Skye Terrier,Rottweiler,,French Spaniel
Pumi,Redbone Coonhound,,,Sussex Spaniel,Smooth Fox Terrier,Samoyed,,German Longhaired Pointer
Pyrenean Shepherd,Rhodesian Ridgeback,,,Vizsla,Soft Coated Wheaten Terrier,Siberian Husky,,German Spitz
Shetland Sheepdog,Saluki,,,Weimaraner,Staffordshire Bull Terrier,Standard Schnauzer,,Hamiltonstovare
Spanish Water Dog,Scottish Deerhound,,,Welsh Springer Spaniel,Welsh Terrier,Tibetan Mastiff,,Hanoverian Scenthound
Swedish Vallhund,Sloughi,,,Wirehaired Pointing Griffon,West Highland White Terrier,St. Bernard,,Hokkaido
,Treeing Walker Coonhound,,,Wirehaired Vizsla,Wire Fox Terrier,,,Hovawart
,Whippet,,,,,,,Jagdterrier
,,,,,,,,Jindo
,,,,,,,,Kai Ken
,,,,,,,,Karelian Bear Dog
,,,,,,,,Kishu Ken
,,,,,,,,Kromfohrlander
,,,,,,,,Lapponian Herder
,,,,,,,,Mountain Cur
,,,,,,,,Perro de Presa Canario
,,,,,,,,Porcelaine
,,,,,,,,Portuguese Pointer
,,,,,,,,Portuguese Sheepdog
,,,,,,,,Pudelpointer
,,,,,,,,Pyrenean Mastiff
,,,,,,,,Rafeiro de Alentejo
,,,,,,,,Romanian Mioritic Shepherd Dog
,,,,,,,,Russian Tsvetnaya Bolonka
,,,,,,,,Schapendoes
