State,Population,StateID,UrbanPercent,PopDensity
Kuala Lumpur,1627172,41401,100,6891
Labuan,86908,41415,82.3,950
Johor,3348283,41336,71.9,174
Kedah,1890098,41325,64.6,199
Kelantan,1459994,41367,42.4,97
Malacca,788706,41324,86.5,470
Negeri Sembilan,997071,41332,66.5,150
Pahang,1443365,41335,50.5,40
Penang,1520143,41327,90.8,1500
Perak,2258428,41330,69.7,110
Perlis,227025,41380,51.4,280
Sabah,3117405,41345,54,42
Sarawak,2420009,41342,53.8,19
Selangor,5411324,41326,91.4,670
Terengganu,1015776,41361,59.1,69
